COD,REF,Regiao,Estado,Area_Estudo,Referencia,Longitude,Latitude,n_amostral,Especie,Nome comum,ID,Ano_Coleta,Forma_Coleta,Sexo,Maturidade,"Estagio
Desenvolvimento",Idade,Idade_Mean,Idade_Median,Idade_SD,Idade_Min,Idade_Max,Comp_cm,Comp_Mean,Comp_Median,Comp_SD,Comp_Min,Comp_Max,Peso_Kg,Tecido,Lipidios_%,Lipidios_Mean,Lipidios_Median,Lipidios_SD,Lipidios_Min,Lipidios_Max,∑PCBs_ng/g,∑PCBs_Mean,∑PCBs_Median,∑PCBs_SD,∑PCBs_Min,∑PCBs_Max,∑DDTs_ng/g,∑DDTs_Mean,∑DDTs_Median,∑DDTs_SD,∑DDTs_Min,∑DDTs_Max,Drins_ng/g,Drins_Mean,Drins_Median,Drins_SD,Drins_Min,Drins_Max,CHLs_ng/g,CHLs_Mean,CHLs_Median,CHLs_SD,CHLs_Min,CHLs_Max,Heptacloro_ng/g,Heptacloro_Mean,Heptacloro_Median,Heptacloro_SD,Heptacloro_Min,Heptacloro_Max,∑HCH_ng/g,∑HCH_Mean,∑HCH_Median,∑HCH_SD,∑HCH_Min,∑HCH_Max,HCB_ng/g,HCB_Mean,HCB_Median,HCB_SD,HCB_Min.,HCB_Max,Mirex_ng/g,Mirex_Mean,Mirex_Median,Mirex_SD,Mirex_Min,Mirex_Max,Obs
A01,POP01,SE,RJ,Baía de Guanabara- RJ,Da Silva et al. 2003,43.13792W,22.78052S,1,Sotalia guianensis,Guiana Dolphin,NA,1996,Encalhe,F,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,3742.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corrigido fluviatilis para guianensis/ Convertido de Peso úmido para lipidico
A02,POP01,SE,RJ,Baía de Guanabara- RJ,Da Silva et al. 2003,43.13792W,22.78052S,1,Sotalia guianensis,Guiana Dolphin,NA,1996,Encalhe,M,NA,NA,NA,NA,NA,NA,NA,NA,147.5,NA,NA,NA,NA,NA,NA,Blubber,NA,NA,NA,NA,NA,NA,12842.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corrigido fluviatilis para guianensis/ Convertido de Peso úmido para lipidico
A03,POP02,SE,SP,Estuário de Cananéia- SP,Yogui et al. 2003,47.929726W,25.053629S,1,Sotalia guianensis,Guiana Dolphin,PA-020,1996,Encalhe/Flutuando na água,M,NA,Adulto,ND,NA,NA,NA,NA,NA,183,NA,NA,NA,NA,NA,NA,Blubber,62.4,NA,NA,NA,NA,NA,7600,NA,NA,NA,NA,NA,57400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,NA,Corrigido fluviatilis para guianensis
A04,POP02,SE,SP,Estuário de Cananéia- SP,Yogui et al. 2003,47.929726W,25.053629S,1,Sotalia guianensis,Guiana Dolphin,PA-021,1996,Encalhe/Flutuando na água,F,NA,Adulto,ND,NA,NA,NA,NA,NA,187,NA,NA,NA,NA,NA,NA,Blubber,65.8,NA,NA,NA,NA,NA,1970,NA,NA,NA,NA,NA,9280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,Corrigido fluviatilis para guianensis/ femea com feto
A05,POP02,SE,SP,Estuário de Cananéia- SP,Yogui et al. 2003,47.929726W,25.053629S,1,Sotalia guianensis,Guiana Dolphin,PA-080,1997,Encalhe/Flutuando na água,F,NA,Adulto,14,NA,NA,NA,NA,NA,187,NA,NA,NA,NA,NA,NA,Blubber,77.8,NA,NA,NA,NA,NA,5950,NA,NA,NA,NA,NA,9260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,235,NA,NA,NA,NA,NA,Corrigido fluviatilis para guianensis
A06,POP02,SE,SP,Estuário de Cananéia- SP,Yogui et al. 2003,47.929726W,25.053629S,1,Sotalia guianensis,Guiana Dolphin,PA-083,1997,Encalhe/Flutuando na água,F,NA,Adulto,21,NA,NA,NA,NA,NA,173,NA,NA,NA,NA,NA,NA,Blubber,73.9,NA,NA,NA,NA,NA,1370,NA,NA,NA,NA,NA,5050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,ND,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,Corrigido fluviatilis para guianensis
A07,POP02,SE,SP,Estuário de Cananéia- SP,Yogui et al. 2003,47.929726W,25.053629S,1,Sotalia guianensis,Guiana Dolphin,PA-095,1997,Encalhe/Flutuando na água,M,NA,Adulto,7,NA,NA,NA,NA,NA,163,NA,NA,NA,NA,NA,NA,Blubber,64.6,NA,NA,NA,NA,NA,1610,NA,NA,NA,NA,NA,7240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<3,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,Corrigido fluviatilis para guianensis
A08,POP02,SE,SP,Estuário de Cananéia- SP,Yogui et al. 2003,47.929726W,25.053629S,1,Sotalia guianensis,Guiana Dolphin,PA-102,1998,Encalhe/Flutuando na água,M,NA,Adulto,21,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,Blubber,78.4,NA,NA,NA,NA,NA,6390,NA,NA,NA,NA,NA,100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,147,NA,NA,NA,NA,NA,Corrigido fluviatilis para guianensis
A09,POP02,SE,SP,Estuário de Cananéia- SP,Yogui et al. 2003,47.929726W,25.053629S,1,Sotalia guianensis,Guiana Dolphin,PA-131,1998,Encalhe/Flutuando na água,M,NA,Adulto,21,NA,NA,NA,NA,NA,196,NA,NA,NA,NA,NA,NA,Blubber,65.2,NA,NA,NA,NA,NA,7180,NA,NA,NA,NA,NA,125000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,NA,Corrigido fluviatilis para guianensis
A10,POP02,SE,SP,Estuário de Cananéia- SP,Yogui et al. 2003,47.929726W,25.053629S,1,Sotalia guianensis,Guiana Dolphin,PA-140,2000,Encalhe/Flutuando na água,F,NA,Adulto,ND,NA,NA,NA,NA,NA,197,NA,NA,NA,NA,NA,NA,Blubber,71.7,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,Corrigido fluviatilis para guianensis/ lactante
